year,inflation rate,unemploment rate
2012jan,2.9,8.3
2012feb,2.9,8.3
2012mar,2.7,8.2
2012apr,2.3,8.2
2012may,1.7,8.2
2012jun,1.7,8.2
2012jul,1.4,8.2
2012aug,1.7,8.1
2012sep,2,7.8
2012oct,2.2,7.8
2012nov,1.8,7.7
2012dec,1.7,7.9
2013jan,1.6,8.0
2013feb,2,7.7
2013mar,1.5,7.5
2013apr,1.1,7.6
2013may,1.4,7.5
2013jun,1.8,7.5
2013jul,2,7.3
2013aug,1.5,7.2
2013sep,1.2,7.2
2013oct,1,7.2
2013nov,1.2,6.9
2013dec,1.5,6.7
2014jan,1.6,6.6
2014feb,1.1,6.7
2014mar,1.5,6.7
2014apr,2,6.2
2014may,2.1,6.3
2014jun,2.1,6.1
2014jul,2,6.2
2014aug,1.7,6.1
2014sep,1.7,5.9
2014oct,1.7,5.7
2014nov,1.3,5.8
2014dec,0.8,5.6
2015jan,-0.1,5.7
2015feb,0,5.5
2015mar,-0.1,5.4
2015apr,-0.2,5.4
2015may,0,5.6
2015jun,0.1,5.3
2015jul,0.2,5.2
2015aug,0.2,5.1
2015sep,0,5.0
2015oct,0.2,5.0
2015nov,0.5,5.1
2015dec,0.7,5.0
2016jan,1.4,4.8
2016feb,1,4.9
2016mar,0.9,5.0
2016apr,1.1,5.1
2016may,1,4.8
2016jun,1,4.9
2016jul,0.8,4.8
2016aug,1.1,4.9
2016sep,1.5,5.0
2016oct,1.6,4.9
2016nov,1.7,4.7
2016dec,2.1,4.7
2017jan,2.5,4.7
2017feb,2.7,4.6
2017mar,2.4,4.4
2017apr,2.2,4.4
2017may,1.9,4.4
2017jun,1.6,4.3
2017jul,1.7,4.3
2017aug,1.9,4.4
2017sep,2.2,4.3
2017oct,2,4.2
2017nov,2.2,4.2
2017dec,2.1,4.1
2018jan,2.1,4.0
2018feb,2.2,4.1
2018mar,2.4,4.0
2018apr,2.5,4.0
2018may,2.8,3.8
2018jun,2.9,4.0
2018jul,2.9,3.8
2018aug,2.7,3.8
2018sep,2.3,3.7
2018oct,2.5,3.8
2018nov,2.2,3.8
2018dec,1.9,3.9
2019jan,1.6,4.0
2019feb,1.5,3.8
2019mar,1.9,3.8
2019apr,2,3.6
2019may,1.8,3.6
2019jun,1.6,3.6
2019jul,1.8,3.7
2019aug,1.7,3.7
2019sep,1.7,3.5
2019oct,1.8,3.6
2019nov,2.1,3.6
2019dec,2.3,3.6
2020jan,2.5,3.5
2020feb,2.3,3.5
2020mar,1.5,4.4
2020apr,0.3,14.7
2020may,0.1,13.2
2020jun,0.6,11.0
2020jul,1,10.2
2020aug,1.3,8.4
2020sep,1.4,7.9
2020oct,1.2,6.9
2020nov,1.2,6.7
2020dec,1.4,6.7
2021jan,1.4,6.4
2021feb,1.7,6.2
2021mar,2.6,6.0
2021apr,4.2,6.0
2021may,5,5.8
2021jun,5.4,5.9
2021jul,5.4,5.4
2021aug,5.3,5.2
2021sep,5.4,4.7
2021oct,6.2,4.6
2021nov,6.8,4.2
2021dec,7,3.9