,Date,inflation_rate
0,2000-Jan,2.7
1,2000-Feb,3.2
2,2000-Mar,3.8
3,2000-Apr,3.1
4,2000-May,3.2
5,2000-Jun,3.7
6,2000-Jul,3.7
7,2000-Aug,3.4
8,2000-Sep,3.5
9,2000-Oct,3.4
10,2000-Nov,3.4
11,2000-Dec,3.4
12,2001-Jan,3.7
13,2001-Feb,3.5
14,2001-Mar,2.9
15,2001-Apr,3.3
16,2001-May,3.6
17,2001-Jun,3.2
18,2001-Jul,2.7
19,2001-Aug,2.7
20,2001-Sep,2.6
21,2001-Oct,2.1
22,2001-Nov,1.9
23,2001-Dec,1.6
24,2002-Jan,1.1
25,2002-Feb,1.1
26,2002-Mar,1.5
27,2002-Apr,1.6
28,2002-May,1.2
29,2002-Jun,1.1
30,2002-Jul,1.5
31,2002-Aug,1.8
32,2002-Sep,1.5
33,2002-Oct,2.0
34,2002-Nov,2.2
35,2002-Dec,2.4
36,2003-Jan,2.6
37,2003-Feb,3.0
38,2003-Mar,3.0
39,2003-Apr,2.2
40,2003-May,2.1
41,2003-Jun,2.1
42,2003-Jul,2.1
43,2003-Aug,2.2
44,2003-Sep,2.3
45,2003-Oct,2.0
46,2003-Nov,1.8
47,2003-Dec,1.9
48,2004-Jan,1.9
49,2004-Feb,1.7
50,2004-Mar,1.7
51,2004-Apr,2.3
52,2004-May,3.1
53,2004-Jun,3.3
54,2004-Jul,3.0
55,2004-Aug,2.7
56,2004-Sep,2.5
57,2004-Oct,3.2
58,2004-Nov,3.5
59,2004-Dec,3.3
60,2005-Jan,3.0
61,2005-Feb,3.0
62,2005-Mar,3.1
63,2005-Apr,3.5
64,2005-May,2.8
65,2005-Jun,2.5
66,2005-Jul,3.2
67,2005-Aug,3.6
68,2005-Sep,4.7
69,2005-Oct,4.3
70,2005-Nov,3.5
71,2005-Dec,3.4
72,2006-Jan,4.0
73,2006-Feb,3.6
74,2006-Mar,3.4
75,2006-Apr,3.5
76,2006-May,4.2
77,2006-Jun,4.3
78,2006-Jul,4.1
79,2006-Aug,3.8
80,2006-Sep,2.1
81,2006-Oct,1.3
82,2006-Nov,2.0
83,2006-Dec,2.5
84,2007-Jan,2.1
85,2007-Feb,2.4
86,2007-Mar,2.8
87,2007-Apr,2.6
88,2007-May,2.7
89,2007-Jun,2.7
90,2007-Jul,2.4
91,2007-Aug,2.0
92,2007-Sep,2.8
93,2007-Oct,3.5
94,2007-Nov,4.3
95,2007-Dec,4.1
96,2008-Jan,4.3
97,2008-Feb,4.0
98,2008-Mar,4.0
99,2008-Apr,3.9
100,2008-May,4.2
101,2008-Jun,5.0
102,2008-Jul,5.6
103,2008-Aug,5.4
104,2008-Sep,4.9
105,2008-Oct,3.7
106,2008-Nov,1.1
107,2008-Dec,0.1
108,2009-Jan,0
109,2009-Feb,0.2
110,2009-Mar,-0.4
111,2009-Apr,-0.7
112,2009-May,-1.3
113,2009-Jun,-1.4
114,2009-Jul,-2.1
115,2009-Aug,-1.5
116,2009-Sep,-1.3
117,2009-Oct,-0.2
118,2009-Nov,1.8
119,2009-Dec,2.7
120,2010-Jan,2.6
121,2010-Feb,2.1
122,2010-Mar,2.3
123,2010-Apr,2.2
124,2010-May,2.0
125,2010-Jun,1.1
126,2010-Jul,1.2
127,2010-Aug,1.1
128,2010-Sep,1.1
129,2010-Oct,1.2
130,2010-Nov,1.1
131,2010-Dec,1.5
132,2011-Jan,1.6
133,2011-Feb,2.1
134,2011-Mar,2.7
135,2011-Apr,3.2
136,2011-May,3.6
137,2011-Jun,3.6
138,2011-Jul,3.6
139,2011-Aug,3.8
140,2011-Sep,3.9
141,2011-Oct,3.5
142,2011-Nov,3.4
143,2011-Dec,3.0
144,2012-Jan,2.9
145,2012-Feb,2.9
146,2012-Mar,2.7
147,2012-Apr,2.3
148,2012-May,1.7
149,2012-Jun,1.7
150,2012-Jul,1.4
151,2012-Aug,1.7
152,2012-Sep,2.0
153,2012-Oct,2.2
154,2012-Nov,1.8
155,2012-Dec,1.7
156,2013-Jan,1.6
157,2013-Feb,2.0
158,2013-Mar,1.5
159,2013-Apr,1.1
160,2013-May,1.4
161,2013-Jun,1.8
162,2013-Jul,2.0
163,2013-Aug,1.5
164,2013-Sep,1.2
165,2013-Oct,1.0
166,2013-Nov,1.2
167,2013-Dec,1.5
168,2014-Jan,1.6
169,2014-Feb,1.1
170,2014-Mar,1.5
171,2014-Apr,2.0
172,2014-May,2.1
173,2014-Jun,2.1
174,2014-Jul,2.0
175,2014-Aug,1.7
176,2014-Sep,1.7
177,2014-Oct,1.7
178,2014-Nov,1.3
179,2014-Dec,0.8
180,2015-Jan,-0.1
181,2015-Feb,0.0
182,2015-Mar,-0.1
183,2015-Apr,-0.2
184,2015-May,0.0
185,2015-Jun,0.1
186,2015-Jul,0.2
187,2015-Aug,0.2
188,2015-Sep,0.0
189,2015-Oct,0.2
190,2015-Nov,0.5
191,2015-Dec,0.7
192,2016-Jan,1.4
193,2016-Feb,1.0
194,2016-Mar,0.9
195,2016-Apr,1.1
196,2016-May,1.0
197,2016-Jun,1.0
198,2016-Jul,0.8
199,2016-Aug,1.1
200,2016-Sep,1.5
201,2016-Oct,1.6
202,2016-Nov,1.7
203,2016-Dec,2.1
204,2017-Jan,2.5
205,2017-Feb,2.7
206,2017-Mar,2.4
207,2017-Apr,2.2
208,2017-May,1.9
209,2017-Jun,1.6
210,2017-Jul,1.7
211,2017-Aug,1.9
212,2017-Sep,2.2
213,2017-Oct,2.0
214,2017-Nov,2.2
215,2017-Dec,2.1
216,2018-Jan,2.1
217,2018-Feb,2.2
218,2018-Mar,2.4
219,2018-Apr,2.5
220,2018-May,2.8
221,2018-Jun,2.9
222,2018-Jul,2.9
223,2018-Aug,2.7
224,2018-Sep,2.3
225,2018-Oct,2.5
226,2018-Nov,2.2
227,2018-Dec,1.9
228,2019-Jan,1.6
229,2019-Feb,1.5
230,2019-Mar,1.9
231,2019-Apr,2.0
232,2019-May,1.8
233,2019-Jun,1.6
234,2019-Jul,1.8
235,2019-Aug,1.7
236,2019-Sep,1.7
237,2019-Oct,1.8
238,2019-Nov,2.1
239,2019-Dec,2.3
240,2020-Jan,2.5
241,2020-Feb,2.3
242,2020-Mar,1.5
243,2020-Apr,0.3
244,2020-May,0.1
245,2020-Jun,0.6
246,2020-Jul,1.0
247,2020-Aug,1.3
248,2020-Sep,1.4
249,2020-Oct,1.2
250,2020-Nov,1.2
251,2020-Dec,1.4
252,2021-Jan,1.4
253,2021-Feb,1.7
254,2021-Mar,2.6
255,2021-Apr,4.2
256,2021-May,5.0
257,2021-Jun,5.4
258,2021-Jul,5.4
259,2021-Aug,5.3
260,2021-Sep,5.4
261,2021-Oct,6.2
262,2021-Nov,6.8
263,2021-Dec,7.0
